2015-10-22 15:59:17.895 D  registerFont(MonoSpace,SimHei)
2015-10-22 15:59:17.895 D  registerFont(MonoSpace,KaiTi)
2015-10-22 15:59:17.895 D  registerFont(Serif,AngsanaUPC)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,Browallia New)
2015-10-22 15:59:17.895 D  registerFont(SansSerif,BrowalliaUPC)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,CordiaUPC)
2015-10-22 15:59:17.905 D  registerFont(Serif,DilleniaUPC)
2015-10-22 15:59:17.905 D  registerFont(Serif,EucrosiaUPC)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,FreesiaUPC)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,IrisUPC)
2015-10-22 15:59:17.905 D  registerFont(Serif,JasmineUPC)
2015-10-22 15:59:17.905 D  registerFont(Serif,KodchiangUPC)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,LilyUPC)
2015-10-22 15:59:17.905 D  registerFont(MonoSpace,DFKai-SB)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Lucida Sans Unicode)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Arial Black)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Comic Sans MS)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Franklin Gothic Medium)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Gabriola)
2015-10-22 15:59:17.905 D  registerFont(Serif,Georgia)
2015-10-22 15:59:17.905 D  registerFont(Serif,Palatino Linotype)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Segoe Print)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Trebuchet MS)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Verdana)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Century Gothic)
2015-10-22 15:59:17.905 D  registerFont(Serif,Garamond)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Bradley Hand ITC)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Copperplate Gothic Light)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Curlz MT)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Eras Demi ITC)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Eras Medium ITC)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Franklin Gothic Book)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Franklin Gothic Demi)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Imprint MT Shadow)
2015-10-22 15:59:17.905 D  registerFont(MonoSpace,Lucida Sans Typewriter)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Maiandra GD)
2015-10-22 15:59:17.905 D  registerFont(Serif,OCR A Extended)
2015-10-22 15:59:17.905 D  registerFont(Serif,Rockwell)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Script MT Bold)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Tw Cen MT)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Tw Cen MT Condensed)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Tw Cen MT Condensed Extra Bold)
2015-10-22 15:59:17.905 D  registerFont(Serif,Baskerville Old Face)
2015-10-22 15:59:17.905 D  registerFont(Serif,Bell MT)
2015-10-22 15:59:17.905 D  registerFont(Serif,Bodoni MT Poster Compressed)
2015-10-22 15:59:17.905 D  registerFont(Serif,Californian FB)
2015-10-22 15:59:17.905 D  registerFont(Serif,Centaur)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Colonna MT)
2015-10-22 15:59:17.905 D  registerFont(Serif,Footlight MT Light)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Harrington)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Jokerman)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Kristen ITC)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Kunstler Script)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Lucida Calligraphy)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Matura MT Script Capitals)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Old English Text MT)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Playbill)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Snap ITC)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Stencil)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Tempus Sans ITC)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Viner Hand ITC)
2015-10-22 15:59:17.905 D  registerFont(Serif,Wide Latin)
2015-10-22 15:59:17.905 D  registerFont(Serif,Century)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Arial Narrow)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Calibri Light)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Haettenschweiler)
2015-10-22 15:59:17.905 D  registerFont(Serif,Book Antiqua)
2015-10-22 15:59:17.905 D  registerFont(Cursive,Monotype Corsiva)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Agency FB)
2015-10-22 15:59:17.905 D  registerFont(SansSerif,Arial Rounded MT Bold)
2015-10-22 15:59:17.905 D  registerFont(Fantasy,Blackadder ITC)
2015-10-22 15:59:17.905 D  registerFont(Serif,Bodoni MT)
2015-10-22 15:59:17.905 D  registerFont(Serif,Bodoni MT Black)
2015-10-22 15:59:17.905 D  registerFont(Serif,Bodoni MT Condensed)
